Date,Open,High,Low,Close,Adj Close,Volume
3/15/2017,19528.75,19581.5293,19503.74023,19577.38086,19577.38086,115700000
3/16/2017,19458.69922,19618.99023,19454.16992,19590.14063,19590.14063,122500000
3/17/2017,19510.89063,19547.50977,19487.91992,19521.58984,19521.58984,137100000
3/21/2017,19416.55078,19485.14063,19337.2207,19455.88086,19455.88086,101700000
3/22/2017,19146.61914,19183.26953,19026.5293,19041.38086,19041.38086,136600000
3/23/2017,19048.83984,19105.10938,18973.75,19085.31055,19085.31055,121000000
3/24/2017,19066.34961,19296.05078,19060.64063,19262.5293,19262.5293,127700000
3/27/2017,18985.58984,18985.58984,18985.58984,18985.58984,18985.58984,120800000
3/28/2017,19159.07031,19203.64063,19113.43945,19202.86914,19202.86914,122300000
3/29/2017,19216.7793,19251.30078,19164.60938,19217.48047,19217.48047,115100000
3/30/2017,19150.82031,19218.08008,19043.48047,19063.2207,19063.2207,124500000
3/31/2017,19170.41992,19210.91992,18909.25977,18909.25977,18909.25977,149200000
4/3/2017,18988,19068.61914,18920.51953,18983.23047,18983.23047,134200000
4/4/2017,18933.82031,18947.33008,18703.63086,18810.25,18810.25,146900000
4/5/2017,18900.69922,18941.93945,18773.93945,18861.26953,18861.26953,121600000
4/6/2017,18754.36914,18797.43945,18532.65039,18597.06055,18597.06055,133600000
4/7/2017,18714.98047,18785.73047,18517.42969,18664.63086,18664.63086,161600000
4/10/2017,18800.2207,18850.80078,18762.69922,18797.88086,18797.88086,111300000
4/11/2017,18717.55078,18767.69922,18661.85938,18747.86914,18747.86914,105100000
4/12/2017,18592.09961,18602.5,18460.58984,18552.60938,18552.60938,116300000
4/13/2017,18391.7207,18455.25,18304.7207,18426.83984,18426.83984,123700000
4/14/2017,18531.91016,18531.91016,18285.73047,18335.63086,18335.63086,0
4/17/2017,18239.83984,18361.43945,18224.67969,18355.25977,18355.25977,0
4/18/2017,18497.38086,18547.46094,18362.73047,18418.58984,18418.58984,93300000
4/19/2017,18327.33008,18467.73047,18327.33008,18432.19922,18432.19922,120800000
4/20/2017,18446.39063,18523.40039,18420.82031,18430.49023,18430.49023,116900000
4/21/2017,18591.82031,18648.2793,18542.41992,18620.75,18620.75,113200000
4/24/2017,18890.38086,18910.33008,18840.13086,18875.88086,18875.88086,98100000
4/25/2017,18872.56055,19109.75977,18867.18945,19079.33008,19079.33008,118000000
4/26/2017,19184.91992,19289.42969,19170.85938,19289.42969,19289.42969,129400000
4/27/2017,19205.58984,19281.69922,19199.58984,19251.86914,19251.86914,116700000
4/28/2017,19240.65039,19264.57031,19164.67969,19196.74023,19196.74023,117800000
5/1/2017,19154.0293,19311.21094,19144.61914,19310.51953,19310.51953,106500000
5/2/2017,19335.7207,19464.30078,19335.01953,19445.69922,19445.69922,112700000
5/8/2017,19709.00977,19929.48047,19705.13086,19895.69922,19895.69922,148700000
5/9/2017,19915.64063,19917.44922,19838.71094,19843,19843,123500000
5/10/2017,19890.56055,19938.5293,19866.30078,19900.08984,19900.08984,129000000
5/11/2017,19943.94922,19989.93945,19906.34961,19961.55078,19961.55078,136400000
5/12/2017,19941.64063,19941.64063,19809.91016,19883.90039,19883.90039,136800000
5/15/2017,19753.46094,19869.84961,19740.63086,19869.84961,19869.84961,128300000
5/16/2017,19953.06055,19998.49023,19862.41016,19919.82031,19919.82031,131100000
5/17/2017,19806.7793,19842.7793,19764.63086,19814.88086,19814.88086,118100000
5/18/2017,19556.99023,19601.5293,19449.73047,19553.85938,19553.85938,135700000
5/19/2017,19591.41016,19628.64063,19497.28906,19590.75977,19590.75977,115600000
5/22/2017,19670.48047,19722.92969,19618.73047,19678.2793,19678.2793,78500000
5/23/2017,19647.74023,19693.01953,19585.53906,19613.2793,19613.2793,83400000
5/24/2017,19777.56055,19782.81055,19690.09961,19742.98047,19742.98047,101300000
